,Product_name,prices,Description,reviews
0,"vivo T2x 5G (Marine Blue, 128 GB)","<div class=""_30jeq3 _1_WHN1"">₹15,999</div>",8 GB RAM | 128 GB ROM16.71 cm (6.58 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6020 Processor1 Year of Device & 6 Months for Inbox Accessories,4.3
1,"vivo T2x 5G (Aurora Gold, 128 GB)","<div class=""_30jeq3 _1_WHN1"">₹15,999</div>",8 GB RAM | 128 GB ROM16.71 cm (6.58 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6020 Processor1 Year of Device & 6 Months for Inbox Accessories,4.3
2,"REDMI 11 Prime (Playful Green, 128 GB)","<div class=""_30jeq3 _1_WHN1"">₹10,999</div>",6 GB RAM | 128 GB ROM | Expandable Upto 512 GB16.71 cm (6.58 inch) Full HD+ Display50MP + 2MP + 2MP | 8MP Front Camera5000 mAh BatteryHelio G99 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.3
3,"vivo T2x 5G (Glimmer Black, 128 GB)","<div class=""_30jeq3 _1_WHN1"">₹15,999</div>",8 GB RAM | 128 GB ROM16.71 cm (6.58 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6020 Processor1 Year of Device & 6 Months for Inbox Accessories,4.3
4,"OnePlus Nord CE 2 Lite 5G (Black Dusk, 128 GB)","<div class=""_30jeq3 _1_WHN1"">₹17,910</div>",6 GB RAM | 128 GB ROM16.74 cm (6.59 inch) Display64MP Rear Camera5000 mAh Battery12 months,4.4
5,"OnePlus Nord CE 2 Lite 5G (Blue Tide, 128 GB)","<div class=""_30jeq3 _1_WHN1"">₹17,849</div>",6 GB RAM | 128 GB ROM16.74 cm (6.59 inch) Display64MP Rear Camera5000 mAh Battery12 Months,4.4
6,"MOTOROLA G62 5G (Frosted Blue, 128 GB)","<div class=""_30jeq3 _1_WHN1"">₹15,499</div>",6 GB RAM | 128 GB ROM16.64 cm (6.55 inch) Full HD+ Display50MP + 8MP + 2MP | 16MP Front Camera5000 mAh Lithium Polymer BatteryQualcomm Snapdragon 695 5G Processor1 Year on Handset and 6 Months on Accessories,4.1
7,"POCO X5 5G (Jaguar Black, 128 GB)","<div class=""_30jeq3 _1_WHN1"">₹15,999</div>",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) Full HD+ Display48MP + 8MP + 2MP | 13MP Front Camera5000 mAh BatteryQualcomm Snapdragon 695 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.1
8,"MOTOROLA g73 5G (Midnight Blue, 128 GB)","<div class=""_30jeq3 _1_WHN1"">₹16,999</div>",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.51 cm (6.5 inch) Full HD+ Display50MP + 8MP | 16MP Front Camera5000 mAh BatteryMediatek Dimensity 930 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,3.9
9,"REDMI Note 12 (Ice Blue, 64 GB)","<div class=""_30jeq3 _1_WHN1"">₹13,999</div>",6 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) Full HD+ Super AMOLED Display50MP + 8MP + 2MP | 13MP Front Camera5000 mAh BatterySnapdragon 685 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.1
10,"MOTOROLA G62 5G (Midnight Gray, 128 GB)","<div class=""_30jeq3 _1_WHN1"">₹15,499</div>",6 GB RAM | 128 GB ROM16.64 cm (6.55 inch) Full HD+ Display50MP + 8MP + 2MP | 16MP Front Camera5000 mAh Lithium Polymer BatteryQualcomm Snapdragon 695 5G Processor1 Year on Handset and 6 Months on Accessories,4.1
11,"vivo T2 5G (Nitro Blaze, 128 GB)","<div class=""_30jeq3 _1_WHN1"">₹18,999</div>",6 GB RAM | 128 GB ROM16.21 cm (6.38 inch) Full HD+ Display64 MP (OIS) + 2MP | 16MP Front Camera4500 mAh BatterySnapdragon 695 Processor1 Year of Device & 6 Months for Inbox Accessories,4.4
12,"POCO X5 5G (Wildcat Blue, 128 GB)","<div class=""_30jeq3 _1_WHN1"">₹15,999</div>",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) Full HD+ Display48MP + 8MP + 2MP | 13MP Front Camera5000 mAh BatteryQualcomm Snapdragon 695 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.1
13,"SAMSUNG Galaxy F14 5G (GOAT Green, 128 GB)","<div class=""_30jeq3 _1_WHN1"">₹15,990</div>","6 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display50MP + 2MP | 13MP Front Camera6000 mAh BatteryExynos 1330, Octa Core Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories",4.2
14,"MOTOROLA G62 5G (Frosted Blue, 128 GB)","<div class=""_30jeq3 _1_WHN1"">₹16,499</div>",8 GB RAM | 128 GB ROM41.94 cm (16.51 cm) Full HD+ Display50MP + 8MP + 2MP | 16MP Front Camera5000 mAh Lithium Polymer BatteryQualcomm Snapdragon 695 5G Processor1 Year on Handset and 6 Months on Accessories,4.1
15,"MOTOROLA G62 5G (Midnight Gray, 128 GB)","<div class=""_30jeq3 _1_WHN1"">₹16,499</div>",8 GB RAM | 128 GB ROM41.94 cm (16.51 cm) Full HD+ Display50MP + 8MP + 2MP | 16MP Front Camera5000 mAh Lithium Polymer BatteryQualcomm Snapdragon 695 5G Processor1 Year on Handset and 6 Months on Accessories,4.1
16,"SAMSUNG Galaxy F14 5G (OMG Black, 128 GB)","<div class=""_30jeq3 _1_WHN1"">₹15,990</div>","6 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display50MP + 2MP | 13MP Front Camera6000 mAh BatteryExynos 1330, Octa Core Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories",4.2
17,"REDMI Note 12 (Lunar Black, 64 GB)","<div class=""_30jeq3 _1_WHN1"">₹13,999</div>",6 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) Full HD+ Super AMOLED Display50MP + 8MP + 2MP | 13MP Front Camera5000 mAh BatterySnapdragon 685 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.1
18,"POCO X5 5G (Supernova Green, 128 GB)","<div class=""_30jeq3 _1_WHN1"">₹15,999</div>",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) Full HD+ Display48MP + 8MP + 2MP | 13MP Front Camera5000 mAh BatteryQualcomm Snapdragon 695 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.1
19,"REDMI Note 12 (Sunrise Gold, 64 GB)","<div class=""_30jeq3 _1_WHN1"">₹13,999</div>",6 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) Full HD+ Super AMOLED Display50MP + 8MP + 2MP | 13MP Front Camera5000 mAh BatterySnapdragon 685 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.1
20,"Infinix Note 12 Pro 5G (Force Black, 128 GB)","<div class=""_30jeq3 _1_WHN1"">₹15,999</div>",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.02 cm (6.7 inch) Full HD+ AMOLED Display108MP + 2MP (Depth) + 2MP (Macro) | 16MP Front Camera5000 mAh Li-ion Polymer BatteryMediatek Dimensity 810 5G Processor1 Year on Handset and 6 Months on Accessories,4.1
21,"MOTOROLA g73 5G (Lucent White, 128 GB)","<div class=""_30jeq3 _1_WHN1"">₹16,999</div>",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.51 cm (6.5 inch) Full HD+ Display50MP + 8MP | 16MP Front Camera5000 mAh BatteryMediatek Dimensity 930 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,3.9
22,"Infinix Note 12 Pro 5G (Snowfall, 128 GB)","<div class=""_30jeq3 _1_WHN1"">₹15,999</div>",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.02 cm (6.7 inch) Full HD+ AMOLED Display108MP + 2MP (Depth) + 2MP (Macro) | 16MP Front Camera5000 mAh Li-ion Polymer BatteryMediatek Dimensity 810 5G Processor1 Year on Handset and 6 Months on Accessories,4.1
23,"realme 10 Pro 5G (Dark Matter, 128 GB)","<div class=""_30jeq3 _1_WHN1"">₹19,999</div>",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display108MP + 2MP | 16MP Front Camera5000 mAh BatteryQualcomm Snapdragon 695 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,4.3
